timestamp;order_id;resource;event;event_type
01-06-2023 05:15:22.840;475;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:15:28.740;490;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:18:05.114;470;cell1;cell1_operation;end
01-06-2023 05:18:05.114;470;mes;order_completed;NA
01-06-2023 05:18:05.114;473;mes;enter_cell1;NA
01-06-2023 05:18:05.114;473;cell1;cell1_operation;start
01-06-2023 05:18:21.911;481;cell2;cell2_operation;end
01-06-2023 05:18:21.911;481;mes;order_completed;NA
01-06-2023 05:18:21.911;483;mes;enter_cell2;NA
01-06-2023 05:18:21.911;483;cell2;cell2_operation;start
01-06-2023 05:18:21.911;492;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 05:18:26.837;475;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:18:26.837;479;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:19:16.465;538;mes;new_order;NA
01-06-2023 05:19:16.465;538;mes;direct_to_line2;NA
01-06-2023 05:21:52.318;479;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:21:52.318;480;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:22:08.661;539;mes;new_order;NA
01-06-2023 05:22:08.661;539;mes;direct_to_line1;NA
01-06-2023 05:25:12.330;540;mes;new_order;NA
01-06-2023 05:25:12.330;540;mes;direct_to_line1;NA
01-06-2023 05:25:22.852;473;cell1;cell1_operation;end
01-06-2023 05:25:22.852;473;mes;order_completed;NA
01-06-2023 05:25:22.852;474;mes;enter_cell1;NA
01-06-2023 05:25:22.852;474;cell1;cell1_operation;start
01-06-2023 05:25:30.767;492;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:26:10.496;541;mes;new_order;NA
01-06-2023 05:26:10.496;541;mes;direct_to_line2;NA
01-06-2023 05:26:35.064;480;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:26:35.064;482;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:27:56.805;483;cell2;cell2_operation;end
