timestamp;order_id;resource;event;event_type
01-06-2023 02:43:50.113;491;mes;direct_to_line1;NA
01-06-2023 02:46:42.629;458;cell1;cell1_operation;end
01-06-2023 02:46:42.629;458;mes;order_completed;NA
01-06-2023 02:52:11.043;492;mes;new_order;NA
01-06-2023 02:52:11.043;492;mes;direct_to_line1;NA
01-06-2023 02:52:32.290;493;mes;new_order;NA
01-06-2023 02:52:32.290;493;mes;direct_to_line1;NA
01-06-2023 03:07:38.223;494;mes;new_order;NA
01-06-2023 03:07:38.223;494;mes;direct_to_line1;NA
01-06-2023 03:08:35.308;495;mes;new_order;NA
01-06-2023 03:08:35.308;495;mes;direct_to_line1;NA
01-06-2023 03:08:37.475;496;mes;new_order;NA
01-06-2023 03:08:37.475;496;mes;direct_to_line1;NA
01-06-2023 03:11:29.647;497;mes;new_order;NA
01-06-2023 03:11:29.647;497;mes;direct_to_line2;NA
01-06-2023 03:15:47.147;498;mes;new_order;NA
01-06-2023 03:15:47.147;498;mes;direct_to_line1;NA
01-06-2023 03:16:17.824;499;mes;new_order;NA
01-06-2023 03:16:17.824;499;mes;direct_to_line1;NA
01-06-2023 03:24:11.036;500;mes;new_order;NA
01-06-2023 03:24:11.036;500;mes;direct_to_line1;NA
01-06-2023 03:28:42.096;501;mes;new_order;NA
01-06-2023 03:28:42.096;501;mes;direct_to_line1;NA
01-06-2023 03:29:09.935;502;mes;new_order;NA
01-06-2023 03:29:09.935;502;mes;direct_to_line1;NA
01-06-2023 03:31:06.587;503;mes;new_order;NA
01-06-2023 03:31:06.587;503;mes;direct_to_line2;NA
01-06-2023 03:31:08.542;504;mes;new_order;NA
01-06-2023 03:31:08.542;504;mes;direct_to_line2;NA
01-06-2023 03:42:05.257;505;mes;new_order;NA
01-06-2023 03:42:05.257;505;mes;direct_to_line2;NA
01-06-2023 03:48:38.299;506;mes;new_order;NA
01-06-2023 03:48:38.299;506;mes;direct_to_line2;NA
01-06-2023 03:51:09.260;507;mes;new_order;NA
01-06-2023 03:51:09.260;507;mes;direct_to_line1;NA
01-06-2023 03:54:27.082;508;mes;new_order;NA
01-06-2023 03:54:27.082;508;mes;direct_to_line2;NA
01-06-2023 03:56:36.024;509;mes;new_order;NA
01-06-2023 03:56:36.024;509;mes;direct_to_line1;NA
01-06-2023 04:02:18.861;510;mes;new_order;NA
01-06-2023 04:02:18.861;510;mes;direct_to_line1;NA
01-06-2023 04:04:17.050;511;mes;new_order;NA
01-06-2023 04:04:17.050;511;mes;direct_to_line2;NA
01-06-2023 04:13:42.989;512;mes;new_order;NA
01-06-2023 04:13:42.989;512;mes;direct_to_line2;NA
01-06-2023 04:17:49.920;513;mes;new_order;NA
01-06-2023 04:17:49.920;513;mes;direct_to_line2;NA
01-06-2023 04:23:50.315;463;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:24:23.262;514;mes;new_order;NA
01-06-2023 04:24:23.262;514;mes;direct_to_line1;NA
01-06-2023 04:26:47.727;462;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 04:27:39.517;515;mes;new_order;NA
01-06-2023 04:27:39.517;515;mes;direct_to_line2;NA
01-06-2023 04:28:10.004;516;mes;new_order;NA
01-06-2023 04:28:10.004;516;mes;direct_to_line2;NA
01-06-2023 04:30:22.703;463;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:30:22.703;463;mes;enter_cell2;NA
01-06-2023 04:30:22.703;463;cell2;cell2_operation;start
01-06-2023 04:30:22.703;466;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:30:35.065;517;mes;new_order;NA
01-06-2023 04:30:35.065;517;mes;direct_to_line1;NA
01-06-2023 04:31:09.601;518;mes;new_order;NA
01-06-2023 04:31:09.601;518;mes;direct_to_line2;NA
01-06-2023 04:31:23.127;519;mes;new_order;NA
01-06-2023 04:31:23.127;519;mes;direct_to_line1;NA
01-06-2023 04:32:07.980;520;mes;new_order;NA
01-06-2023 04:32:07.980;520;mes;direct_to_line1;NA
01-06-2023 04:32:08.755;462;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 04:32:08.755;464;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 04:33:03.458;521;mes;new_order;NA
01-06-2023 04:33:03.458;521;mes;direct_to_line1;NA
01-06-2023 04:36:02.598;462;mes;enter_cell1;NA
01-06-2023 04:36:02.598;462;cell1;cell1_operation;start
01-06-2023 04:36:27.720;466;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:36:27.720;472;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:37:24.726;464;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 04:37:24.726;465;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 04:38:22.433;463;cell2;cell2_operation;end
01-06-2023 04:38:22.433;463;mes;order_completed;NA
01-06-2023 04:38:22.433;466;mes;enter_cell2;NA
01-06-2023 04:38:22.433;466;cell2;cell2_operation;start
01-06-2023 04:38:52.363;522;mes;new_order;NA
01-06-2023 04:38:52.363;522;mes;direct_to_line2;NA
01-06-2023 04:39:37.072;523;mes;new_order;NA
01-06-2023 04:39:37.072;523;mes;direct_to_line1;NA
01-06-2023 04:41:13.260;472;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:41:13.260;474;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:41:19.094;465;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 04:41:19.094;467;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 04:42:25.369;462;cell1;cell1_operation;end
01-06-2023 04:42:25.369;462;mes;order_completed;NA
01-06-2023 04:42:25.369;464;mes;enter_cell1;NA
01-06-2023 04:42:25.369;464;cell1;cell1_operation;start
01-06-2023 04:42:45.040;524;mes;new_order;NA
01-06-2023 04:42:45.040;524;mes;direct_to_line1;NA
01-06-2023 04:45:19.997;467;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 04:45:19.997;468;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 04:46:20.708;474;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:46:20.708;478;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:47:00.375;466;cell2;cell2_operation;end
01-06-2023 04:47:00.375;466;mes;order_completed;NA
01-06-2023 04:47:00.375;472;mes;enter_cell2;NA
01-06-2023 04:47:00.375;472;cell2;cell2_operation;start
01-06-2023 04:47:07.095;525;mes;new_order;NA
01-06-2023 04:47:07.095;525;mes;direct_to_line1;NA
01-06-2023 04:47:38.194;526;mes;new_order;NA
01-06-2023 04:47:38.194;526;mes;direct_to_line2;NA
01-06-2023 04:48:30.110;527;mes;new_order;NA
01-06-2023 04:48:30.110;527;mes;direct_to_line1;NA
01-06-2023 04:49:12.729;468;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 04:49:12.729;469;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 04:49:59.929;464;cell1;cell1_operation;end
01-06-2023 04:49:59.929;464;mes;order_completed;NA
01-06-2023 04:49:59.929;465;mes;enter_cell1;NA
01-06-2023 04:49:59.929;465;cell1;cell1_operation;start
01-06-2023 04:52:52.800;478;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:52:52.800;479;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:53:34.938;469;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 04:53:34.938;470;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 04:56:01.892;472;cell2;cell2_operation;end
01-06-2023 04:56:01.892;472;mes;order_completed;NA
01-06-2023 04:56:01.892;474;mes;enter_cell2;NA
01-06-2023 04:56:01.892;474;cell2;cell2_operation;start
01-06-2023 04:56:39.533;465;cell1;cell1_operation;end
01-06-2023 04:56:39.533;465;mes;order_completed;NA
01-06-2023 04:56:39.533;467;mes;enter_cell1;NA
01-06-2023 04:56:39.533;467;cell1;cell1_operation;start
01-06-2023 04:57:16.845;528;mes;new_order;NA
01-06-2023 04:57:16.845;528;mes;direct_to_line1;NA
01-06-2023 04:58:06.770;479;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 04:58:06.770;486;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 04:58:53.214;470;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 04:58:53.214;471;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:02:59.094;529;mes;new_order;NA
01-06-2023 05:02:59.094;529;mes;direct_to_line2;NA
01-06-2023 05:03:01.573;530;mes;new_order;NA
01-06-2023 05:03:01.573;530;mes;direct_to_line1;NA
01-06-2023 05:03:17.281;531;mes;new_order;NA
01-06-2023 05:03:17.281;531;mes;direct_to_line1;NA
01-06-2023 05:03:39.350;467;cell1;cell1_operation;end
01-06-2023 05:03:39.350;467;mes;order_completed;NA
01-06-2023 05:03:39.350;468;mes;enter_cell1;NA
01-06-2023 05:03:39.350;468;cell1;cell1_operation;start
01-06-2023 05:03:58.031;474;cell2;cell2_operation;end
01-06-2023 05:03:58.031;474;mes;order_completed;NA
01-06-2023 05:03:58.031;478;mes;enter_cell2;NA
01-06-2023 05:03:58.031;478;cell2;cell2_operation;start
01-06-2023 05:04:00.052;471;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:04:00.052;473;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:04:52.768;486;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:04:52.768;487;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 05:05:51.687;532;mes;new_order;NA
01-06-2023 05:05:51.687;532;mes;direct_to_line1;NA
01-06-2023 05:08:19.621;473;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:08:19.621;475;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:10:13.899;487;agv2;agv2_transport_to_cell2_buffer;end
01-06-2023 05:10:13.899;497;agv2;agv2_transport_to_cell2_buffer;start
01-06-2023 05:10:24.098;468;cell1;cell1_operation;end
01-06-2023 05:10:24.098;468;mes;order_completed;NA
01-06-2023 05:10:24.098;469;mes;enter_cell1;NA
01-06-2023 05:10:24.098;469;cell1;cell1_operation;start
01-06-2023 05:10:56.593;475;agv1;agv1_transport_to_cell1_buffer;end
01-06-2023 05:10:56.593;476;agv1;agv1_transport_to_cell1_buffer;start
01-06-2023 05:11:33.304;533;mes;new_order;NA
01-06-2023 05:11:33.304;533;mes;direct_to_line2;NA
01-06-2023 05:11:42.545;478;cell2;cell2_operation;end
01-06-2023 05:11:42.545;478;mes;order_completed;NA
01-06-2023 05:11:42.545;479;mes;enter_cell2;NA
01-06-2023 05:11:42.545;479;cell2;cell2_operation;start
01-06-2023 05:12:25.570;534;mes;new_order;NA
01-06-2023 05:12:25.570;534;mes;direct_to_line1;NA
01-06-2023 05:14:03.323;535;mes;new_order;NA
